Qualtrics Columns,Current?,Added in Scoring,To Add in clean,Added before end
PRE_EMAIL,x,,x,
PRE_AGE,x,,x,
PRE_ANX#1_1,x,,x,
PRE_ANX#1_2,x,,x,
PRE_ANX#1_3,x,,x,
PRE_ANX#1_4,x,,x,
PRE_ATT_1,,,x,
PRE_ATT_2,,,x,
PRE_ATT_3,,,x,
PRE_ATT_4,,,x,
PRE_ATT_DL_1,x,,x,
PRE_ATT_DL_2,x,,x,
PRE_ATT_DL_3,x,,x,
PRE_ATT_DL_4,x,,x,
PRE_ATT_DL_5,x,,x,
PRE_ATT_SC_1,x,,x,
PRE_ATT_SC_2,x,,x,
PRE_ATT_SC_3,x,,x,
PRE_ATT_SC_4,x,,x,
PRE_ATT_SC_5,x,,x,
PRE_CALC,x,,x,
PRE_DAILYG,x,,x,
PRE_DAILYM,x,,x,
PRE_DIFF,,,x,
PRE_DIS_1,x,,x,
PRE_DIS_2,x,,x,
PRE_DIS_3,x,,x,
PRE_DIS_4,x,,x,
PRE_Duration (in seconds),x,,x,
PRE_EFFORT,x,,x,
PRE_Finished,x,,x,
PRE_Firstname,x,,x,
PRE_FREQEN,x,,x,
PRE_GENDER,x,,x,
PRE_Lastname,x,,x,
PRE_LK1,x,,x,
PRE_LK2,x,,x,
PRE_LK3,,,x,
PRE_LK4,,,x,
PRE_LK5,x,,x,
PRE_MAJOR_1,,,x,
PRE_MAJOR_10,,,x,
PRE_MAJOR_11,,,x,
PRE_MAJOR_12,,,x,
PRE_MAJOR_13,,,x,
PRE_MAJOR_2,,,x,
PRE_MAJOR_3,,,x,
PRE_MAJOR_4,,,x,
PRE_MAJOR_5,,,x,
PRE_MAJOR_6,,,x,
PRE_MAJOR_7,,,x,
PRE_MAJOR_8,,,x,
PRE_MAJOR_9,,,x,
PRE_MAJOR_NEW_1,x,,x,
PRE_MAJOR_NEW_10,x,,x,
PRE_MAJOR_NEW_12,,,x,
PRE_MAJOR_NEW_13,,,x,
PRE_MAJOR_NEW_2,x,,x,
PRE_MAJOR_NEW_3,x,,x,
PRE_MAJOR_NEW_4,x,,x,
PRE_MAJOR_NEW_5,x,,x,
PRE_MAJOR_NEW_6,x,,x,
PRE_MAJOR_NEW_7,x,,x,
PRE_MAJOR_NEW_8,x,,x,
PRE_MAJOR_NEW_9,x,,x,
PRE_META_INFO_Browser,x,,x,
PRE_META_INFO_Operating System,x,,x,
